index,class,comment_sentence,partition,combo,labels
1,Abfss.java,this impl delegates to the old filesystem,0,this impl delegates to the old filesystem | abfss java,"[0, 0, 1, 0, 0, 0, 0]"
52,CapacitySchedulerPlanFollower.java,synchronization and rm restart issues no catch up is necessary,0,synchronization and rm restart issues no catch up is necessary | capacityschedulerplanfollower java,"[0, 0, 0, 0, 0, 0, 1]"
53,Classpath.java,the output likely will include wildcards in the classpath,0,the output likely will include wildcards in the classpath | classpath java,"[0, 0, 1, 0, 0, 0, 0]"
56,ComparableVersion.java,code source of this file http grepcode com file repo1 maven org maven2 org apache maven maven artifact 31 1 org apache maven artifact versioning comparableversion java modifications made on top of the source 1,0,code source of this file http grepcode com file repo1 maven org maven2 org apache maven maven artifact 31 1 org apache maven artifact versioning comparableversion java modifications made on top of the source 1 | comparableversion java,"[0, 0, 0, 0, 1, 0, 0]"
58,ComparableVersion.java,generic implementation of version comparison,0,generic implementation of version comparison | comparableversion java,"[1, 0, 0, 1, 0, 0, 0]"
59,ComparableVersion.java,p features,0,p features | comparableversion java,"[0, 0, 0, 1, 0, 0, 0]"
61,ComparableVersion.java,li code milestone code or code m code li,0,li code milestone code or code m code li | comparableversion java,"[0, 0, 0, 1, 0, 0, 0]"
62,ComparableVersion.java,li code rc code or code cr code li,0,li code rc code or code cr code li | comparableversion java,"[0, 0, 0, 1, 0, 0, 0]"
64,ComparableVersion.java,li code the empty string code or code ga code or code final code li,0,li code the empty string code or code ga code or code final code li | comparableversion java,"[0, 0, 0, 1, 0, 0, 0]"
67,ComparableVersion.java,unknown qualifiers are considered after known qualifiers with lexical order always case insensitive,0,unknown qualifiers are considered after known qualifiers with lexical order always case insensitive | comparableversion java,"[0, 0, 0, 1, 0, 0, 0]"
71,ComparableVersion.java,represents a numeric item in the version item list,0,represents a numeric item in the version item list | comparableversion java,"[1, 0, 0, 1, 0, 0, 0]"
72,ComparableVersion.java,represents a string in the version item list usually a qualifier,0,represents a string in the version item list usually a qualifier | comparableversion java,"[1, 0, 0, 1, 0, 0, 0]"
73,ComparableVersion.java,represents a version list item,0,represents a version list item | comparableversion java,"[1, 0, 0, 1, 0, 0, 0]"
74,ComparableVersion.java,this class is used both for the global item list and for sub lists which start,0,this class is used both for the global item list and for sub lists which start | comparableversion java,"[1, 0, 0, 1, 0, 0, 0]"
75,ComparableVersion.java,with number in the version specification,0,with number in the version specification | comparableversion java,"[1, 0, 0, 0, 0, 0, 0]"
76,ConfigurationException.java,exception to throw in case of a configuration problem,0,exception to throw in case of a configuration problem | configurationexception java,"[1, 0, 0, 0, 0, 0, 0]"
77,CpuTimeTracker.java,utility for sampling and computing cpu usage,0,utility for sampling and computing cpu usage | cputimetracker java,"[1, 0, 0, 0, 0, 0, 1]"
78,DBProfile.java,user visible configs based rocksdb tuning page,0,user visible configs based rocksdb tuning page | dbprofile java,"[1, 0, 0, 0, 0, 0, 0]"
79,DBProfile.java,documentation for options,0,documentation for options | dbprofile java,"[0, 0, 0, 1, 1, 0, 0]"
81,DBProfile.java,https github com facebook rocksdb blob master include rocksdb options h,0,https github com facebook rocksdb blob master include rocksdb options h | dbprofile java,"[0, 0, 0, 1, 1, 0, 0]"
83,DBProfile.java,most tuning parameters are based on this url,0,most tuning parameters are based on this url | dbprofile java,"[0, 0, 0, 1, 1, 0, 0]"
85,DBProfile.java,https github com facebook rocksdb wiki setup options and basic tuning,0,https github com facebook rocksdb wiki setup options and basic tuning | dbprofile java,"[0, 0, 0, 1, 1, 0, 0]"
86,DefaultAnonymizingRumenSerializer.java,default rumen json serializer,0,default rumen json serializer | defaultanonymizingrumenserializer java,"[1, 0, 0, 0, 0, 0, 0]"
103,DelegatingSSLSocketFactory.java,system installed openssl,0,system installed openssl | delegatingsslsocketfactory java,"[0, 0, 0, 1, 0, 0, 0]"
117,DelegatingSSLSocketFactory.java,however the name,0,however the name | delegatingsslsocketfactory java,"[0, 0, 0, 0, 0, 0, 1]"
118,DelegatingSSLSocketFactory.java,was not changed in order to preserve backwards compatibility,0,was not changed in order to preserve backwards compatibility | delegatingsslsocketfactory java,"[0, 0, 0, 1, 0, 0, 1]"
122,DelegatingSSLSocketFactory.java,implementation with no changes to the list of enabled ciphers,0,implementation with no changes to the list of enabled ciphers | delegatingsslsocketfactory java,"[0, 0, 0, 1, 0, 0, 1]"
125,DelegationTokenIdentifier.java,a delegation token identifier that is specific to hdfs,0,a delegation token identifier that is specific to hdfs | delegationtokenidentifier java,"[1, 0, 1, 0, 0, 0, 0]"
127,DiskBalancerCluster.java,diskbalancercluster represents the nodes that we are working against,0,diskbalancercluster represents the nodes that we are working against | diskbalancercluster java,"[1, 0, 0, 0, 0, 0, 0]"
129,DiskBalancerCluster.java,please note,0,please note | diskbalancercluster java,"[0, 0, 1, 0, 0, 0, 0]"
130,DiskBalancerCluster.java,semantics of inclusionlist and exclusionlists,0,semantics of inclusionlist and exclusionlists | diskbalancercluster java,"[0, 0, 1, 0, 0, 0, 0]"
132,DiskBalancerCluster.java,if a non empty inclusionlist is specified then the diskbalancer assumes that,0,if a non empty inclusionlist is specified then the diskbalancer assumes that | diskbalancercluster java,"[0, 0, 1, 0, 0, 0, 0]"
136,DiskBalancerCluster.java,not in exclusionlist is processed,0,not in exclusionlist is processed | diskbalancercluster java,"[0, 0, 1, 0, 0, 0, 0]"
138,DiskBalancerCluster.java,if inclusionlist is empty then we assume that all live nodes in the nodes is,0,if inclusionlist is empty then we assume that all live nodes in the nodes is | diskbalancercluster java,"[0, 0, 1, 0, 0, 0, 0]"
140,DiskBalancerCluster.java,in that case diskbalancer will avoid any,0,in that case diskbalancer will avoid any | diskbalancercluster java,"[0, 0, 1, 0, 0, 0, 0]"
141,DiskBalancerCluster.java,nodes specified in the exclusionlist but will process all nodes in the,0,nodes specified in the exclusionlist but will process all nodes in the | diskbalancercluster java,"[0, 0, 1, 0, 0, 0, 0]"
142,DiskBalancerCluster.java,cluster,0,cluster | diskbalancercluster java,"[0, 0, 1, 0, 0, 0, 0]"
145,DiskBalancerCluster.java,only a given list is processed and exclusionlist is always honored,0,only a given list is processed and exclusionlist is always honored | diskbalancercluster java,"[0, 0, 1, 0, 0, 0, 0]"
146,DistributedSchedulingAllocateRequest.java,object used by the application master when distributed scheduling is enabled,0,object used by the application master when distributed scheduling is enabled | distributedschedulingallocaterequest java,"[1, 0, 0, 0, 0, 0, 0]"
150,EditLogTailer.java,fsnamesystem,0,fsnamesystem | editlogtailer java,"[1, 0, 0, 0, 0, 0, 0]"
151,EditLogTailer.java,the thread which does the actual work of tailing edits journals and,0,the thread which does the actual work of tailing edits journals and | editlogtailer java,"[0, 0, 1, 0, 0, 0, 0]"
154,EditLogTailer.java,this cannot just be the a single proxy since we could,0,this cannot just be the a single proxy since we could | editlogtailer java,"[0, 0, 0, 0, 0, 0, 1]"
158,EditLogTailer.java,against it,0,against it | editlogtailer java,"[0, 0, 0, 0, 0, 0, 1]"
162,EditLogTailer.java,retries before throwing up our hands,0,retries before throwing up our hands | editlogtailer java,"[0, 0, 0, 0, 0, 0, 1]"
163,EditLogTailer.java,a working proxy is retained across attempts since we,0,a working proxy is retained across attempts since we | editlogtailer java,"[0, 0, 0, 0, 0, 0, 1]"
170,ErasureCodingPolicyManager.java,namenode image,0,namenode image | erasurecodingpolicymanager java,"[0, 0, 1, 0, 0, 0, 0]"
171,ErasureCodingPolicyManager.java,this class is instantiated by the fsnamesystem,0,this class is instantiated by the fsnamesystem | erasurecodingpolicymanager java,"[0, 0, 0, 1, 1, 0, 0]"
172,EventWatcher.java,event watcher the re send a message after timeout,0,event watcher the re send a message after timeout | eventwatcher java,"[1, 0, 0, 0, 0, 0, 0]"
173,EventWatcher.java,event watcher will send the tracked payload event after a timeout period,0,event watcher will send the tracked payload event after a timeout period | eventwatcher java,"[0, 0, 0, 0, 0, 0, 1]"
174,EventWatcher.java,unless a confirmation from the original event completion event is arrived,0,unless a confirmation from the original event completion event is arrived | eventwatcher java,"[0, 0, 0, 0, 0, 0, 1]"
175,EventWatcher.java,param timeout payload the type of the events which are tracked,0,param timeout payload the type of the events which are tracked | eventwatcher java,"[0, 0, 0, 0, 1, 0, 0]"
178,FairOrderingPolicy.java,an orderingpolicy which orders schedulableentities for fairness see,0,an orderingpolicy which orders schedulableentities for fairness see | fairorderingpolicy java,"[1, 0, 0, 0, 1, 0, 0]"
179,FairOrderingPolicy.java,fairscheduler,0,fairscheduler | fairorderingpolicy java,"[1, 0, 0, 0, 1, 0, 0]"
180,FairOrderingPolicy.java,fairsharepolicy generally processes with lesser usage are lesser,0,fairsharepolicy generally processes with lesser usage are lesser | fairorderingpolicy java,"[1, 0, 0, 0, 1, 0, 0]"
181,FairOrderingPolicy.java,if,0,if | fairorderingpolicy java,"[0, 0, 0, 1, 0, 0, 0]"
182,FairOrderingPolicy.java,sizedbasedweight is set to true then an application with high demand,0,sizedbasedweight is set to true then an application with high demand | fairorderingpolicy java,"[0, 0, 0, 1, 0, 0, 0]"
186,FairOrderingPolicy.java,continuously optional default false,0,continuously optional default false | fairorderingpolicy java,"[0, 0, 0, 1, 0, 0, 0]"
189,FileSystemApplicationHistoryStore.java,file system implementation of link applicationhistorystore,0,file system implementation of link applicationhistorystore | filesystemapplicationhistorystore java,"[1, 0, 0, 0, 1, 0, 0]"
194,FileSystemApplicationHistoryStore.java,open a file while link applicationfinished applicationfinishdata is,0,open a file while link applicationfinished applicationfinishdata is | filesystemapplicationhistorystore java,"[0, 0, 1, 0, 1, 0, 0]"
197,FsConstants.java,filesystem related constants,0,filesystem related constants | fsconstants java,"[1, 0, 0, 0, 0, 0, 0]"
199,HadoopIllegalArgumentException.java,indicates that a method has been passed illegal or invalid argument,0,indicates that a method has been passed illegal or invalid argument | hadoopillegalargumentexception java,"[1, 0, 0, 0, 0, 0, 0]"
206,InconsistentS3ClientFactory.java,just by editing the hadoop configuration used to bring up the client,0,just by editing the hadoop configuration used to bring up the client | inconsistents3clientfactory java,"[0, 0, 0, 1, 0, 0, 0]"
211,ITestListPerformance.java,test list performance,0,test list performance | itestlistperformance java,"[1, 0, 0, 0, 0, 0, 0]"
215,KerberosDelegationTokenAuthenticator.java,kerberos spnego authentication mechanism and support for hadoop delegation,0,kerberos spnego authentication mechanism and support for hadoop delegation | kerberosdelegationtokenauthenticator java,"[1, 0, 0, 0, 0, 0, 0]"
216,KerberosDelegationTokenAuthenticator.java,token operations,0,token operations | kerberosdelegationtokenauthenticator java,"[1, 0, 0, 0, 0, 0, 0]"
219,KerberosDelegationTokenAuthenticator.java,endpoint does not trigger a spnego authentication,0,endpoint does not trigger a spnego authentication | kerberosdelegationtokenauthenticator java,"[0, 0, 1, 0, 1, 0, 0]"
223,LoggedTask.java,a link loggedtask represents a hadoop task that is part of a hadoop job,0,a link loggedtask represents a hadoop task that is part of a hadoop job | loggedtask java,"[1, 0, 0, 0, 1, 0, 0]"
227,LoggedTask.java,want to write out in the json files,0,want to write out in the json files | loggedtask java,"[0, 0, 0, 1, 0, 0, 0]"
228,LogParserUtil.java,common utility functions for link logparser,0,common utility functions for link logparser | logparserutil java,"[1, 0, 0, 0, 1, 0, 0]"
230,LRUCacheHashMap.java,lru cache with a configurable maximum cache size and access order,0,lru cache with a configurable maximum cache size and access order | lrucachehashmap java,"[1, 0, 1, 0, 0, 0, 0]"
234,MapContext.java,param valuein the value input type to the mapper,0,param valuein the value input type to the mapper | mapcontext java,"[0, 0, 0, 1, 0, 0, 0]"
236,MapContext.java,param valueout the value output type from the mapper,0,param valueout the value output type from the mapper | mapcontext java,"[0, 0, 0, 1, 0, 0, 0]"
237,MetaBlockAlreadyExists.java,exception meta block with the same name already exists,0,exception meta block with the same name already exists | metablockalreadyexists java,"[1, 0, 0, 0, 0, 0, 0]"
238,MetricsCache.java,a metrics cache for sinks that don t support sparse updates,0,a metrics cache for sinks that don t support sparse updates | metricscache java,"[1, 0, 0, 0, 0, 0, 0]"
239,MetricsCache.java,cached record,0,cached record | metricscache java,"[0, 0, 1, 0, 0, 0, 0]"
241,NativeSingleLineParser.java,this sample parser will parse the sample log and extract the resource,0,this sample parser will parse the sample log and extract the resource | nativesinglelineparser java,"[1, 0, 0, 0, 0, 0, 0]"
242,NativeSingleLineParser.java,skyline,0,skyline | nativesinglelineparser java,"[1, 0, 0, 0, 0, 0, 0]"
245,Nfs3Status.java,success or error status is reported in nfs3 responses,0,success or error status is reported in nfs3 responses | nfs3status java,"[1, 0, 0, 0, 0, 0, 0]"
247,Node2ObjectsMap.java,this information is built from the dn container reports,0,this information is built from the dn container reports | node2objectsmap java,"[0, 0, 1, 0, 0, 0, 0]"
249,NullOutputFormat.java,consume all outputs and put them in dev null,0,consume all outputs and put them in dev null | nulloutputformat java,"[1, 0, 1, 0, 0, 0, 0]"
250,OMNodeDetails.java,this class stores om node details,0,this class stores om node details | omnodedetails java,"[1, 0, 0, 0, 0, 0, 0]"
251,OMNodeDetails.java,builder class for omnodedetails,0,builder class for omnodedetails | omnodedetails java,"[1, 0, 0, 0, 1, 0, 0]"
252,OpportunisticContainersStatusPBImpl.java,protocol buffer implementation of opportunisticcontainersstatus,0,protocol buffer implementation of opportunisticcontainersstatus | opportunisticcontainersstatuspbimpl java,"[1, 0, 0, 0, 0, 0, 0]"
253,OzoneObj.java,class representing an unique ozone object,0,class representing an unique ozone object | ozoneobj java,"[1, 0, 0, 0, 0, 0, 0]"
254,OzoneObj.java,ozone objects supported for acl,0,ozone objects supported for acl | ozoneobj java,"[0, 0, 1, 0, 0, 0, 0]"
255,OzoneObj.java,ozone objects supported for acl,0,ozone objects supported for acl | ozoneobj java,"[0, 0, 1, 0, 0, 0, 0]"
256,Parser.java,a class for parsing outputs,0,a class for parsing outputs | parser java,"[1, 0, 0, 0, 0, 0, 0]"
257,PartialOutputCommitter.java,interface for an link org apache hadoop mapreduce outputcommitter,0,interface for an link org apache hadoop mapreduce outputcommitter | partialoutputcommitter java,"[0, 0, 0, 0, 1, 0, 0]"
258,PartitionResourcesInfo.java,this class represents queue user resource usage info for a given partition,0,this class represents queue user resource usage info for a given partition | partitionresourcesinfo java,"[1, 0, 0, 0, 0, 0, 1]"
259,ProcessIdFileReader.java,helper functionality to read the pid from a file,0,helper functionality to read the pid from a file | processidfilereader java,"[1, 0, 0, 0, 0, 0, 0]"
262,QuasiMonteCarlo.java,arbitrary integrals can be approximated numerically by qmc methods,0,arbitrary integrals can be approximated numerically by qmc methods | quasimontecarlo java,"[0, 0, 1, 0, 0, 0, 0]"
263,QuasiMonteCarlo.java,in this example,0,in this example | quasimontecarlo java,"[0, 0, 0, 1, 1, 0, 0]"
264,QuasiMonteCarlo.java,we use a qmc method to approximate the integral i int s f x dx,0,we use a qmc method to approximate the integral i int s f x dx | quasimontecarlo java,"[0, 0, 0, 1, 1, 0, 0]"
265,QuasiMonteCarlo.java,where s 0 1 2 is a unit square,0,where s 0 1 2 is a unit square | quasimontecarlo java,"[0, 0, 0, 1, 0, 0, 0]"
266,QuasiMonteCarlo.java,x x 1 x 2 is a 2 dimensional point,0,x x 1 x 2 is a 2 dimensional point | quasimontecarlo java,"[0, 0, 0, 1, 0, 0, 0]"
267,QuasiMonteCarlo.java,and f is a function describing the inscribed circle of the square s,0,and f is a function describing the inscribed circle of the square s | quasimontecarlo java,"[0, 0, 0, 1, 0, 0, 0]"
268,QuasiMonteCarlo.java,f x 1 if 2x 1 1 2 2x 2 1 2 lt 1 and f x 0 otherwise,0,f x 1 if 2x 1 1 2 2x 2 1 2 lt 1 and f x 0 otherwise | quasimontecarlo java,"[0, 0, 0, 1, 0, 0, 0]"
269,QuasiMonteCarlo.java,it is easy to see that pi is equal to 4i,0,it is easy to see that pi is equal to 4i | quasimontecarlo java,"[0, 0, 0, 1, 0, 0, 0]"
270,QuasiMonteCarlo.java,so an approximation of pi is obtained once i is evaluated numerically,0,so an approximation of pi is obtained once i is evaluated numerically | quasimontecarlo java,"[0, 0, 0, 1, 0, 0, 0]"
271,QuasiMonteCarlo.java,there are better methods for computing pi,0,there are better methods for computing pi | quasimontecarlo java,"[0, 0, 1, 1, 0, 0, 0]"
272,QuasiMonteCarlo.java,we emphasize numerical approximation of arbitrary integrals in this example,0,we emphasize numerical approximation of arbitrary integrals in this example | quasimontecarlo java,"[0, 0, 1, 1, 0, 0, 0]"
273,QuasiMonteCarlo.java,for computing many digits of pi consider using bbp,0,for computing many digits of pi consider using bbp | quasimontecarlo java,"[0, 0, 1, 1, 0, 0, 0]"
274,QuasiMonteCarlo.java,the implementation is discussed below,0,the implementation is discussed below | quasimontecarlo java,"[0, 0, 1, 0, 0, 0, 0]"
275,QuasiMonteCarlo.java,mapper,0,mapper | quasimontecarlo java,"[0, 0, 1, 0, 0, 0, 0]"
276,QuasiMonteCarlo.java,generate points in a unit square,0,generate points in a unit square | quasimontecarlo java,"[0, 0, 1, 0, 0, 0, 0]"
277,QuasiMonteCarlo.java,and then count points inside outside of the inscribed circle of the square,0,and then count points inside outside of the inscribed circle of the square | quasimontecarlo java,"[0, 0, 1, 0, 0, 0, 0]"
278,QuasiMonteCarlo.java,reducer,0,reducer | quasimontecarlo java,"[0, 0, 1, 0, 0, 0, 0]"
279,QuasiMonteCarlo.java,generate points in a unit square,0,generate points in a unit square | quasimontecarlo java,"[0, 0, 1, 0, 0, 0, 0]"
280,QuasiMonteCarlo.java,and then count points inside outside of the inscribed circle of the square,0,and then count points inside outside of the inscribed circle of the square | quasimontecarlo java,"[0, 0, 1, 0, 0, 0, 0]"
282,Query.java,the query is usually a partial record,0,the query is usually a partial record | query java,"[0, 0, 1, 0, 0, 0, 0]"
283,Query.java,param t type of the record to query,0,param t type of the record to query | query java,"[0, 0, 0, 0, 1, 0, 0]"
300,ReencryptionUpdater.java,all the submitted futures and statistics about how far the futures are,0,all the submitted futures and statistics about how far the futures are | reencryptionupdater java,"[1, 0, 1, 0, 0, 0, 0]"
303,ReencryptionUpdater.java,it,0,it | reencryptionupdater java,"[1, 0, 0, 0, 0, 0, 0]"
305,ReencryptionUpdater.java,class that encapsulates re encryption details of a file,0,class that encapsulates re encryption details of a file | reencryptionupdater java,"[1, 0, 0, 0, 0, 0, 0]"
306,RegistryInternalConstants.java,internal constants for the registry,0,internal constants for the registry | registryinternalconstants java,"[1, 0, 0, 0, 0, 0, 0]"
307,RegistryInternalConstants.java,these are the things which aren t visible to users,0,these are the things which aren t visible to users | registryinternalconstants java,"[0, 0, 0, 0, 0, 0, 1]"
311,ResourceBlacklistRequest.java,see resourcerequest,0,see resourcerequest | resourceblacklistrequest java,"[0, 0, 0, 0, 1, 0, 0]"
320,ResourceRequestsJsonVerifications.java,link builder users can also make verifications of the custom resource,0,link builder users can also make verifications of the custom resource | resourcerequestsjsonverifications java,"[0, 0, 1, 0, 1, 0, 0]"
323,ResourceRequestsJsonVerifications.java,builder class for link resourcerequestsjsonverifications,0,builder class for link resourcerequestsjsonverifications | resourcerequestsjsonverifications java,"[1, 0, 0, 0, 1, 0, 0]"
324,RMAdminRequestInterceptor.java,defines the contract to be implemented by the request intercepter classes,0,defines the contract to be implemented by the request intercepter classes | rmadminrequestinterceptor java,"[1, 0, 0, 0, 0, 0, 0]"
327,SchedulerQueueManager.java,context of the queues in scheduler,0,context of the queues in scheduler | schedulerqueuemanager java,"[1, 0, 0, 0, 0, 0, 0]"
330,ShellBasedUnixGroupsMapping.java,a simple shell based implementation of link groupmappingserviceprovider that exec s the code groups code shell command to fetch the group,0,a simple shell based implementation of link groupmappingserviceprovider that exec s the code groups code shell command to fetch the group | shellbasedunixgroupsmapping java,"[1, 0, 0, 0, 0, 0, 0]"
331,StandardSocketFactory.java,specialized socketfactory to create sockets with a socks proxy,0,specialized socketfactory to create sockets with a socks proxy | standardsocketfactory java,"[1, 0, 0, 0, 0, 0, 0]"
332,StateStoreFileSystemImpl.java,link statestoredriver implementation based on a filesystem,0,link statestoredriver implementation based on a filesystem | statestorefilesystemimpl java,"[1, 0, 0, 0, 1, 0, 0]"
333,StreamBaseRecordReader.java,shared functionality for hadoopstreaming formats,0,shared functionality for hadoopstreaming formats | streambaserecordreader java,"[1, 0, 0, 0, 0, 0, 0]"
334,StreamBaseRecordReader.java,a custom reader can be,0,a custom reader can be | streambaserecordreader java,"[0, 0, 0, 1, 0, 0, 0]"
335,StreamBaseRecordReader.java,defined to be a recordreader with the constructor below and is selected with,0,defined to be a recordreader with the constructor below and is selected with | streambaserecordreader java,"[0, 0, 0, 1, 0, 0, 0]"
336,StreamBaseRecordReader.java,the option bin hadoopstreaming inputreader,0,the option bin hadoopstreaming inputreader | streambaserecordreader java,"[0, 0, 0, 1, 0, 0, 0]"
338,StructureGenerator.java,this program generates a random namespace structure with the following,0,this program generates a random namespace structure with the following | structuregenerator java,"[1, 0, 1, 0, 0, 0, 0]"
339,StructureGenerator.java,constraints,0,constraints | structuregenerator java,"[0, 0, 1, 0, 0, 0, 0]"
345,StructureGenerator.java,files are randomly placed in the empty directories,0,files are randomly placed in the empty directories | structuregenerator java,"[0, 0, 1, 0, 0, 0, 0]"
347,StructureGenerator.java,file follows gaussian distribution,0,file follows gaussian distribution | structuregenerator java,"[0, 0, 1, 0, 0, 0, 0]"
348,StructureGenerator.java,the generated namespace structure is described by two files in the output,0,the generated namespace structure is described by two files in the output | structuregenerator java,"[0, 0, 1, 0, 0, 0, 0]"
349,StructureGenerator.java,directory,0,directory | structuregenerator java,"[0, 0, 1, 0, 0, 0, 0]"
352,StructureGenerator.java,the synopsis of the command is,0,the synopsis of the command is | structuregenerator java,"[0, 0, 0, 1, 0, 0, 0]"
356,StructureGenerator.java,maxwidth maxwidth maximum number of subdirectories per directories default is 5,0,maxwidth maxwidth maximum number of subdirectories per directories default is 5 | structuregenerator java,"[0, 0, 0, 1, 0, 0, 0]"
357,StructureGenerator.java,numoffiles offiles the total number of files default is 10,0,numoffiles offiles the total number of files default is 10 | structuregenerator java,"[0, 0, 0, 1, 0, 0, 0]"
358,StructureGenerator.java,avgfilesize avgfilesizeinblocks average size of blocks default is 1,0,avgfilesize avgfilesizeinblocks average size of blocks default is 1 | structuregenerator java,"[0, 0, 1, 1, 0, 0, 0]"
359,StructureGenerator.java,outdir outdir output directory default is the current directory,0,outdir outdir output directory default is the current directory | structuregenerator java,"[0, 0, 1, 1, 0, 0, 0]"
360,StructureGenerator.java,seed seed random number generator seed default is the current time,0,seed seed random number generator seed default is the current time | structuregenerator java,"[0, 0, 0, 1, 0, 0, 0]"
362,SwiftBadRequestException.java,thrown to indicate that data locality can t be calculated or requested path is incorrect,0,thrown to indicate that data locality can t be calculated or requested path is incorrect | swiftbadrequestexception java,"[1, 0, 0, 0, 0, 0, 0]"
363,SwiftBadRequestException.java,data locality can t be calculated if openstack swift version is old,0,data locality can t be calculated if openstack swift version is old | swiftbadrequestexception java,"[0, 0, 0, 0, 0, 1, 0]"
365,SwiftRestClient.java,get the current operation statistics,0,get the current operation statistics | swiftrestclient java,"[0, 0, 0, 0, 1, 0, 0]"
366,SwiftRestClient.java,return a snapshot of the statistics,0,return a snapshot of the statistics | swiftrestclient java,"[0, 0, 0, 0, 1, 0, 0]"
367,SwiftRestClient.java,base class for all swift rest operations,0,base class for all swift rest operations | swiftrestclient java,"[0, 0, 0, 0, 1, 0, 0]"
368,SwiftRestClient.java,param m request,0,param m request | swiftrestclient java,"[0, 0, 0, 0, 1, 0, 0]"
369,SwiftRestClient.java,param r result,0,param r result | swiftrestclient java,"[0, 0, 0, 0, 1, 0, 0]"
370,SwiftRestClient.java,get the current operation statistics,0,get the current operation statistics | swiftrestclient java,"[0, 0, 0, 0, 1, 0, 0]"
371,SwiftRestClient.java,return a snapshot of the statistics,0,return a snapshot of the statistics | swiftrestclient java,"[0, 0, 0, 0, 1, 0, 0]"
373,SwiftRestClient.java,return a snapshot of the statistics,0,return a snapshot of the statistics | swiftrestclient java,"[0, 0, 0, 0, 1, 0, 0]"
376,SwiftRestClient.java,get the current operation statistics,0,get the current operation statistics | swiftrestclient java,"[0, 0, 0, 0, 1, 0, 0]"
377,SwiftRestClient.java,return a snapshot of the statistics,0,return a snapshot of the statistics | swiftrestclient java,"[0, 0, 0, 0, 1, 0, 0]"
378,SwiftRestClient.java,create operation,0,create operation | swiftrestclient java,"[0, 0, 0, 0, 1, 0, 0]"
379,SwiftRestClient.java,get the current operation statistics,0,get the current operation statistics | swiftrestclient java,"[0, 0, 0, 0, 1, 0, 0]"
