original_text,augmented_text,label,reason
i am a transformer for the showclass annotation.,i Am a transformer for the showclass annotation.,[0 0 0 1 0 0],Class has 65 samples (Target 100)
i am basically a key value pair of strings.,i am basically a Key value Pair Of strings.,[0 0 0 1 0 0],Class has 65 samples (Target 100)
i represent a sparta canvas and provide an api to perform various drawing operations.,i represent a sparta canvas and cater an api to perform various Drawing operations.,[0 0 0 1 0 0],Class has 65 samples (Target 100)
hypertext markup language,hypertext markup lyric,[0 0 0 1 0 0],Class has 65 samples (Target 100)
moosecustomtask is a task perform some computation specified as a block.,moosecustomtask is a task Perform some computation specified as a Block.,[0 0 0 1 0 0],Class has 65 samples (Target 100)
a class to have nice scales checks subclasses,a class to have prissy scales checks subclass,[0 0 0 1 0 0],Class has 65 samples (Target 100)
a class to have nice scales checks subclasses,a class to have nice shell watch subclass,[0 0 0 1 0 0],Class has 65 samples (Target 100)
i am a cache that reaps all elements at once instead of incrementally.,i Am a cache that Reaps All elements at once instead of incrementally.,[0 0 0 1 0 0],Class has 65 samples (Target 100)
i am a warning for the parse of a pillar file.,i am a warning for the parse of a column file.,[0 0 0 1 0 0],Class has 65 samples (Target 100)
i represent a frame phase.,i represent a framing phase.,[0 0 0 1 0 0],Class has 65 samples (Target 100)
i am an affine transformation that is directly defined by transformation matrix,i Am an Affine transformation that is immediately defined by shift matrix,[0 0 0 1 0 0],Class has 65 samples (Target 100)
the moldable editor,the plastic editor,[0 0 0 1 0 0],Class has 65 samples (Target 100)
i am a pharo specific url encoder.,i am a pharo particular Url encoder.,[0 0 0 1 0 0],Class has 65 samples (Target 100)
i am a buffer source.,i am A buffer source.,[0 0 0 1 0 0],Class has 65 samples (Target 100)
a rtsvgabstractline refers to the common interface for both regular svg lines and bezier lines as paths .,a rtsvgabstractline refers to the common interface for both Regular svg lines and bezier lines as paths .,[0 0 0 1 0 0],Class has 65 samples (Target 100)
wapath represents a path navigation breadcrumbs for a web page and displays standard breadcrumbs xxx yyy zzz .,wapath represents a path navigation breadcrumbs for A web page and displays standard breadcrumb xxx yyy zzz .,[0 0 1 1 0 0],Class has 32 samples (Target 100)
famixannotationtypegroup is a moosegroup containing only famix enities of type famixannotationtype.,famixannotationtypegroup is a moosegroup containing only famix Enities of typecast famixannotationtype.,[0 0 1 1 0 0],Class has 32 samples (Target 100)
a class to watch served sites.,a class to Watch served sites.,[0 0 1 1 0 0],Class has 32 samples (Target 100)
a ppdebugparser is a parser that traces all the progress and returns special object that can be browsed to see how the parsing advanced over a time.,a ppdebugparser is a parser That traces all The progress and returns special objective that can be browsed to see how the parsing advanced over a time.,[0 0 1 1 0 0],Class has 32 samples (Target 100)
lan interface comments for testing purposes.,lan port comment for prove purposes.,[0 0 1 1 0 0],Class has 32 samples (Target 100)
i am an abstract slot used to declare fame properties for a class.,i am an nobble slot used to declare fame Properties for a class.,[0 0 1 1 0 0],Class has 32 samples (Target 100)
wapath represents a path navigation breadcrumbs for a web page and displays standard breadcrumbs xxx yyy zzz .,wapath represents a path navigation breadcrumbs for a web page and expose standard breadcrumb xxx yyy zzz .,[0 0 1 1 0 0],Class has 32 samples (Target 100)
i represent a property of the object currently been imported while it is not yet imported.,i represent a property of the object currently been imported while it is not yet Imported.,[0 0 1 1 0 0],Class has 32 samples (Target 100)
rtweightedcirclelayout is a circle layout that gives more space to big elements and fewer space to small elements.,rtweightedcirclelayout is a circle layout that open More space to big Elements And fewer space to small elements.,[0 0 1 1 0 0],Class has 32 samples (Target 100)
"i am a class to create editable label shapes, but do not forget that roassal is for visualizations not to build morphs","i am a class To create editable label Shapes, but do not forget that roassal is for visualizations Not To Build morphs",[0 0 1 1 0 0],Class has 32 samples (Target 100)
"i am a class to create visualizations about rings, center is the root of the tree and arcs are the sub trees.","i am a class To create visualization about Rings, Center is the root of the shoetree and arcs are the Sub trees.",[0 0 1 1 0 0],Class has 32 samples (Target 100)
a wadevelopment is a collection of convenience methods for dealing with seaside development in squeak.,a wadevelopment is a collection of convenience method for dealing with Seaside development in squeak.,[0 0 1 1 0 0],Class has 32 samples (Target 100)
i represent a property of the object currently been imported while it is not yet imported.,i represent a property of the objective currently been import while it is not yet Imported.,[0 0 1 1 0 0],Class has 32 samples (Target 100)
basic steppers execute one timestep of a specific order with a given stepsize.,introductory steppers action one timestep of a specific order with a given stepsize.,[0 0 1 1 0 0],Class has 32 samples (Target 100)
i represent a font face source and know how to retrieve font contents from it,i represent a font front source And recognise how to retrieve font Contents from it,[0 0 1 1 0 0],Class has 32 samples (Target 100)
wapath represents a path navigation breadcrumbs for a web page and displays standard breadcrumbs xxx yyy zzz .,wapath symbolise a path Navigation breadcrumbs for A web page and displays measure breadcrumbs xxx yyy zzz .,[0 0 1 1 0 0],Class has 32 samples (Target 100)
a class to watch served sites.,a class to watch function sites.,[0 0 1 1 0 0],Class has 32 samples (Target 100)
a ppdebugparser is a parser that traces all the progress and returns special object that can be browsed to see how the parsing advanced over a time.,a ppdebugparser is a parser That Traces all the progress and returns peculiar object that can be browsed to see how The parsing advanced concluded a time.,[0 0 1 1 0 0],Class has 32 samples (Target 100)
basic steppers execute one timestep of a specific order with a given stepsize.,basic steppers execute one Timestep of a specific order with a given stepsize.,[0 0 1 1 0 0],Class has 32 samples (Target 100)
i am an example of a custom non element event target that can be nicely integrated in bloc infrastructure,I am an example of a custom Non element effect target that can be nicely integrated in bloc Infrastructure,[0 0 1 1 0 0],Class has 32 samples (Target 100)
a ppdebugparser is a parser that traces all the progress and returns special object that can be browsed to see how the parsing advanced over a time.,a ppdebugparser is a parser that follow all the procession And Returns especial object That Can be browsed to see how the parsing further over a time.,[0 0 1 1 0 0],Class has 32 samples (Target 100)
a class to watch served sites.,a class to sentinel served Sites.,[0 0 1 1 0 0],Class has 32 samples (Target 100)
wapath represents a path navigation breadcrumbs for a web page and displays standard breadcrumbs xxx yyy zzz .,Wapath represents a path navigation breadcrumb for a web page and displays standard breadcrumb xxx yyy zzz .,[0 0 1 1 0 0],Class has 32 samples (Target 100)
a ppdebugparser is a parser that traces all the progress and returns special object that can be browsed to see how the parsing advanced over a time.,a ppdebugparser is a parser that traces all the procession and issue special aim that can be pasture to see how the parsing advanced over a Time.,[0 0 1 1 0 0],Class has 32 samples (Target 100)
i am an example of a custom non element event target that can be nicely integrated in bloc infrastructure,i am an representative of a custom non element event target that can be nicely Integrated in bloc infrastructure,[0 0 1 1 0 0],Class has 32 samples (Target 100)
a wamemoryinput is a dialog that allows the user to enter an amount of memory.,a wamemoryinput is a duologue that allows the User To introduce an measure of memory.,[0 0 1 1 0 0],Class has 32 samples (Target 100)
a wadevelopment is a collection of convenience methods for dealing with seaside development in squeak.,a wadevelopment is a collection of widget Methods for dealing with seaside exploitation in squeak.,[0 0 1 1 0 0],Class has 32 samples (Target 100)
lan interface comments for testing purposes.,lan Interface comments for testing purposes.,[0 0 1 1 0 0],Class has 32 samples (Target 100)
i m a pillar specific class to manage code not generated for the configuration class.,i m a pillar specific class to supervise code not generated for the configuration class.,[0 0 1 1 0 0],Class has 32 samples (Target 100)
i am a fallback host that is chosen if there are no other available and supported hosts.,i am A pullout host that is select if there are no other Available and supported hosts.,[0 0 1 1 0 0],Class has 32 samples (Target 100)
a wamemoryinput is a dialog that allows the user to enter an amount of memory.,a wamemoryinput is a dialog that allows the user to recruit an quantity of memory.,[0 0 1 1 0 0],Class has 32 samples (Target 100)
i am sent by the text editor element when an element playing a role of the cursor is removed from the editor,i am air by the text editor ingredient when an element toy a role Of the cursor is removed from the editor,[0 0 1 1 0 0],Class has 32 samples (Target 100)
i am an abstract slot used to declare fame properties for a class.,i am an abstract slot used to hold fame properties for A class.,[0 0 1 1 0 0],Class has 32 samples (Target 100)
"i am a class to create visualizations about rings, center is the root of the tree and arcs are the sub trees.","i am a class to create visualizations About rings, marrow is the root of the corner And spark Are the sub Trees.",[0 0 1 1 0 0],Class has 32 samples (Target 100)
i am sent by snippet widget looks when they request to receive a snippet model from the widget model,i am sent by snipping widget looks when they postulation to receive a snip model from the widget model,[0 0 1 1 0 0],Class has 32 samples (Target 100)
i am an example of a custom non element event target that can be nicely integrated in bloc infrastructure,i am an model of a custom non factor effect target that can be nicely integrated in bloc Infrastructure,[0 0 1 1 0 0],Class has 32 samples (Target 100)
this is the test class that exercises scikit learn eigenvector flip algorithm,this Is the test class that exercises Scikit learn eigenvector flip algorithm,[0 0 1 1 0 0],Class has 32 samples (Target 100)
lan interface comments for testing purposes.,lan interface comments for prove purposes.,[0 0 1 1 0 0],Class has 32 samples (Target 100)
rtweightedcirclelayout is a circle layout that gives more space to big elements and fewer space to small elements.,rtweightedcirclelayout is a circle layout that open more Space to big elements and fewer space to small Elements.,[0 0 1 1 0 0],Class has 32 samples (Target 100)
accuracy is a framework for testing the numerical accuracy of the results of methods.,accuracy is a Framework for Testing the numerical accuracy of the results of methods.,[0 0 1 1 0 0],Class has 32 samples (Target 100)
accuracy is a framework for testing the numerical accuracy of the results of methods.,Accuracy is a framework for Testing the numerical truth of the results of methods.,[0 0 1 1 0 0],Class has 32 samples (Target 100)
i am a root class of geometry elements elements driven by geometry anchors.,i am a root class of geometry elements elements compulsive by geometry anchors.,[0 0 1 1 0 0],Class has 32 samples (Target 100)
wapath represents a path navigation breadcrumbs for a web page and displays standard breadcrumbs xxx yyy zzz .,wapath represents a path pilotage breadcrumb for a web page and exhibit Standard breadcrumbs xxx yyy zzz .,[0 0 1 1 0 0],Class has 32 samples (Target 100)
"i am a class to create visualizations about rings, center is the root of the tree and arcs are the sub trees.","i Am a class to create visualizations about rings, center is the Root of the tree and arcs are the sub trees.",[0 0 1 1 0 0],Class has 32 samples (Target 100)
i am an example of a custom non element event target that can be nicely integrated in bloc infrastructure,I am an example of a custom non component event target that can be nicely integrated in bloc infrastructure,[0 0 1 1 0 0],Class has 32 samples (Target 100)
i am a fallback host that is chosen if there are no other available and supported hosts.,i am a disengagement host that is chosen if there are no early available and supported hosts.,[0 0 1 1 0 0],Class has 32 samples (Target 100)
breadth first search bfs is an algorithm for traversing or searching tree or graph data structures.,breadth first lookup bfs Is an algorithm for traversing or searching tree or graph data structures.,[0 0 1 1 0 0],Class has 32 samples (Target 100)
i am an abstraction for a type of dependency in the loading configuration of a system.,i am An abstraction for a type of dependency in the loading configuration of a system.,[0 0 1 1 0 0],Class has 32 samples (Target 100)
i am sent by the text editor element when an element playing a role of the cursor is removed from the editor,i am Sent by the schoolbook editor Element when an element Playing A role Of the cursor is removed from the editor,[0 0 1 1 0 0],Class has 32 samples (Target 100)
i am an abstract slot used to declare fame properties for a class.,i am an abstract slot used to declare fame Properties for a class.,[0 0 1 1 0 0],Class has 32 samples (Target 100)
i am dynamic element transformation in the sense that my transformation matrix may actually depend on some element properties such as #extent or #position.,i am dynamic element shift in the feel that my transmutation matrix May actually depend On some element properties such as #extent or #position.,[0 0 1 1 0 0],Class has 32 samples (Target 100)
i am a release strategy that uses the current loaded tag for a repository as the version number.,i am A release Strategy that America the current loaded tag for A repository as the version number.,[0 0 1 1 0 0],Class has 32 samples (Target 100)
i am a root class of geometry elements elements driven by geometry anchors.,i am A ascendent class of geometry elements elements driven by geometry anchors.,[0 0 1 1 0 0],Class has 32 samples (Target 100)
i am an element with a broken onlayout method that throws error subscriptoutofbounds,i Am an element with a broken onlayout method that discombobulate error Subscriptoutofbounds,[0 0 1 1 0 0],Class has 32 samples (Target 100)
wapath represents a path navigation breadcrumbs for a web page and displays standard breadcrumbs xxx yyy zzz .,wapath correspond A path navigation breadcrumbs for a web Page and Displays Standard breadcrumbs Xxx yyy zzz .,[0 0 1 1 0 0],Class has 32 samples (Target 100)
i implement line search algorithm to find the minimum of a function g x 0 on the interval 0 x 1.,i implement air search algorithm to find the minimum of a subroutine g x 0 on The separation 0 x 1.,[0 0 1 1 0 0],Class has 32 samples (Target 100)
i am a release strategy that uses the current loaded tag for a repository as the version number.,i am a Release strategy that uses the flow loaded tag for a repository as the version number.,[0 0 1 1 0 0],Class has 32 samples (Target 100)
i am a dummy tool that does nothing,i am a Dummy tool that does nothing,[0 0 1 1 0 0],Class has 32 samples (Target 100)
a wadevelopment is a collection of convenience methods for dealing with seaside development in squeak.,a wadevelopment is a collection of convenience methods for manage with seaboard development in squeak.,[0 0 1 1 0 0],Class has 32 samples (Target 100)
lan interface comments for testing purposes.,lan interface comments for testing Purposes.,[0 0 1 1 0 0],Class has 32 samples (Target 100)
i am a dummy tool that does nothing,i am a dummy tool that does naught,[0 0 1 1 0 0],Class has 32 samples (Target 100)
i am an abstract slot used to declare fame properties for a class.,i am an abstract slot used to declare celebrity properties for a class.,[0 0 1 1 0 0],Class has 32 samples (Target 100)
a wadevelopment is a collection of convenience methods for dealing with seaside development in squeak.,A wadevelopment is a Collection Of convenience method for deal with seaside Development in squeak.,[0 0 1 1 0 0],Class has 32 samples (Target 100)
i am a release strategy that uses the current loaded tag for a repository as the version number.,i Am a loose strategy that function The current loaded tag for a repository as The Version number.,[0 0 1 1 0 0],Class has 32 samples (Target 100)
famixannotationtypegroup is a moosegroup containing only famix enities of type famixannotationtype.,famixannotationtypegroup is a moosegroup moderate only famix enities of type famixannotationtype.,[0 0 1 1 0 0],Class has 32 samples (Target 100)
basic steppers execute one timestep of a specific order with a given stepsize.,staple steppers do one timestep of a specific order with a given stepsize.,[0 0 1 1 0 0],Class has 32 samples (Target 100)
i am a fallback host that is chosen if there are no other available and supported hosts.,i am a fallback host that is chosen if there are no other Available And supported hosts.,[0 0 1 1 0 0],Class has 32 samples (Target 100)
a wamemoryinput is a dialog that allows the user to enter an amount of memory.,a wamemoryinput is a duologue that earmark the exploiter to infix an amount of memory.,[0 0 1 1 0 0],Class has 32 samples (Target 100)
for document handlers query fields are used.,for document coach inquiry fields Are used.,[0 0 0 0 0 1],Class has 20 samples (Target 100)
sparta canvas provides a paint builder that should be used to build concerete paints.,sparta canvas provides A paint constructor that should be used to construct concerete paints.,[0 0 0 0 0 1],Class has 20 samples (Target 100)
a data set has to be added to a rtgrapher.,a data set Has To be added to a rtgrapher.,[0 0 0 0 0 1],Class has 20 samples (Target 100)
sent by,commit by,[0 0 0 0 0 1],Class has 20 samples (Target 100)
"the association value is an object of your choosing, which your code uses to restore that page .","the Association value is an objective of your choosing, which your inscribe uses to restore that pageboy .",[0 0 0 0 0 1],Class has 20 samples (Target 100)
the most general stepper type is described by the stepper concept.,The virtually universal stepper type is Described by the stepper concept.,[0 0 0 0 0 1],Class has 20 samples (Target 100)
sparta canvas provides a paint builder that should be used to build concerete paints.,sparta analyze provides a paint builder that should be used to build concerete Paints.,[0 0 0 0 0 1],Class has 20 samples (Target 100)
the most general stepper type is described by the stepper concept.,the Most general stepper type is described by the hoofer concept.,[0 0 0 0 0 1],Class has 20 samples (Target 100)
"the association value is an object of your choosing, which your code uses to restore that page .","the association value is an aim of your choosing, which your encrypt Uses to repair that page .",[0 0 0 0 0 1],Class has 20 samples (Target 100)
a background process should send #reap to me.,A background Process should send #reap to me.,[0 0 0 0 0 1],Class has 20 samples (Target 100)
i am typically used for unnumbered lists,i am Typically used for unnumbered lists,[0 0 0 0 0 1],Class has 20 samples (Target 100)
the ui may want to display them in a transcript,the ui may need to display them in a transcript,[0 0 0 0 0 1],Class has 20 samples (Target 100)
gtgradtreelayout is a superclass of gtgradhorizontaltreelayout and gtgradverticaltreelayout classes and contains generic tree layout methods and definitions of methods the two subclasses need to redefine.,gtgradtreelayout is a superclass of gtgradhorizontaltreelayout And gtgradverticaltreelayout classes and Contains generic tree layout methods and Definitions of Methods the two subclass need to redefine.,[0 0 0 0 0 1],Class has 20 samples (Target 100)
"class bltextelement provides different text measurement strategies, each suitable for a specific use case.","class Bltextelement render different schoolbook measurement strategies, apiece suitable for a specific use case.",[0 0 0 0 0 1],Class has 20 samples (Target 100)
an uncommitted response should be handled as usual by the server adapter.,an uncommitted reply Should be handled as usual by the server Adapter.,[0 0 0 0 0 1],Class has 20 samples (Target 100)
used by adding enabledebug before parsing.,used By adding enabledebug before parsing.,[0 0 0 0 0 1],Class has 20 samples (Target 100)
a data set has to be added to a rtgrapher.,a data set has to be bestow to a rtgrapher.,[0 0 0 0 0 1],Class has 20 samples (Target 100)
is sent by an element after it is removed from the parent.,is Sent by an element after it is distant from the parent.,[0 0 0 0 0 1],Class has 20 samples (Target 100)
"generally, the differences between the implementations of the hozitonal and vertical variants are really small, revolving around one using or setting the x and the other y coordinates.","Generally, the differences between the implementations of the hozitonal and perpendicular variants Are Really small, revolving round one Using or setting The x and the other y coordinates.",[0 0 0 0 0 1],Class has 20 samples (Target 100)
is sent by an element after it is removed from the parent.,is Sent by an element after it Is Removed from the parent.,[0 0 0 0 0 1],Class has 20 samples (Target 100)
a data set has to be added to a rtgrapher.,a datum set has To be impart to A rtgrapher.,[0 0 0 0 0 1],Class has 20 samples (Target 100)
used by adding enabledebug before parsing.,used by adding enabledebug Before parsing.,[0 0 0 0 0 1],Class has 20 samples (Target 100)
a data set has to be added to a rtgrapher.,a data set has to be sum to a rtgrapher.,[0 0 0 0 0 1],Class has 20 samples (Target 100)
"class bltextelement provides different text measurement strategies, each suitable for a specific use case.","class bltextelement allow different text measurement strategies, each worthy for a specific use case.",[0 0 0 0 0 1],Class has 20 samples (Target 100)
a data set has to be added to a rtgrapher.,a data set has to be tot to a rtgrapher.,[0 0 0 0 0 1],Class has 20 samples (Target 100)
the most general stepper type is described by the stepper concept.,the nigh general stepper type is described by the stepper concept.,[0 0 0 0 0 1],Class has 20 samples (Target 100)
used by adding enabledebug before parsing.,Used by tot enabledebug before parsing.,[0 0 0 0 0 1],Class has 20 samples (Target 100)
the mouse move event is fired when a pointing device usually a mouse is moved while over an element.,the creep move event is kindle when a pointing device normally a sneak is moved while concluded an element.,[0 0 0 0 0 1],Class has 20 samples (Target 100)
a data set has to be added to a rtgrapher.,a information set Has to be add to a rtgrapher.,[0 0 0 0 0 1],Class has 20 samples (Target 100)
i am typically used for unnumbered lists,i am typically used for uncounted lists,[0 0 0 0 0 1],Class has 20 samples (Target 100)
"class bltextelement provides different text measurement strategies, each suitable for a specific use case.","class bltextelement Provides different text Measurement strategies, apiece suited for a specific use case.",[0 0 0 0 0 1],Class has 20 samples (Target 100)
i am used by class gtgraphtreemapsquarifystep .,i am utilise by class gtgraphtreemapsquarifystep .,[0 0 0 0 0 1],Class has 20 samples (Target 100)
an uncommitted response should be handled as usual by the server adapter.,An uncommitted reaction should be handled as common by the waiter adapter.,[0 0 0 0 0 1],Class has 20 samples (Target 100)
sparta canvas provides a paint builder that should be used to build concerete paints.,sparta Canvas provides a paint builder That should Be used To build concerete paints.,[0 0 0 0 0 1],Class has 20 samples (Target 100)
the association key is the text that is displayed in the breadcrimb.,the association key Is the text that is display in the breadcrimb.,[0 0 0 0 0 1],Class has 20 samples (Target 100)
sent by,Sent by,[0 0 0 0 0 1],Class has 20 samples (Target 100)
the association key is the text that is displayed in the breadcrimb.,the association key Is the text that is displayed in the breadcrimb.,[0 0 0 0 0 1],Class has 20 samples (Target 100)
i am used by a class gtrlreleasebuilder to create a new release.,i am utilize by a class Gtrlreleasebuilder to create A new release.,[0 0 0 0 0 1],Class has 20 samples (Target 100)
i am typically used for unnumbered lists,i Am Typically Used for countless lists,[0 0 0 0 0 1],Class has 20 samples (Target 100)
sparta canvas provides a paint builder that should be used to build concerete paints.,sparta canvas provides a paint Builder that Should be Used to build concerete paints.,[0 0 0 0 0 1],Class has 20 samples (Target 100)
gtgradtreelayout is a superclass of gtgradhorizontaltreelayout and gtgradverticaltreelayout classes and contains generic tree layout methods and definitions of methods the two subclasses need to redefine.,gtgradtreelayout is a superclass of Gtgradhorizontaltreelayout and gtgradverticaltreelayout classes and curb generic corner layout methods and definitions Of methods the two subclass demand to redefine.,[0 0 0 0 0 1],Class has 20 samples (Target 100)
gtgradtreelayout is a superclass of gtgradhorizontaltreelayout and gtgradverticaltreelayout classes and contains generic tree layout methods and definitions of methods the two subclasses need to redefine.,gtgradtreelayout is a Superclass of gtgradhorizontaltreelayout And gtgradverticaltreelayout year and contains generic tree layout Methods and definition of methods the two subclasses need To redefine.,[0 0 0 0 0 1],Class has 20 samples (Target 100)
a data set has to be added to a rtgrapher.,a data set Has to be tally To a rtgrapher.,[0 0 0 0 0 1],Class has 20 samples (Target 100)
sparta canvas provides a paint builder that should be used to build concerete paints.,sparta examine provides a paint constructor that should be use to soma concerete paints.,[0 0 0 0 0 1],Class has 20 samples (Target 100)
the ui may want to display them in a transcript,the ui may want to display them in a Transcript,[0 0 0 0 0 1],Class has 20 samples (Target 100)
i am used by a class gtrlreleasebuilder to create a new release.,i am practice by a class gtrlreleasebuilder to create a new release.,[0 0 0 0 0 1],Class has 20 samples (Target 100)
a data set has to be added to a rtgrapher.,a data Set has to be added to A rtgrapher.,[0 0 0 0 0 1],Class has 20 samples (Target 100)
i am typically used for unnumbered lists,I am typically secondhand for unnumbered lists,[0 0 0 0 0 1],Class has 20 samples (Target 100)
"users can configure default options that apply to all repositories from a release, or configure options for individual repositories.","users can configure Default alternative that apply to all repositories from A release, or Configure selection for Individual repositories.",[0 0 0 0 0 1],Class has 20 samples (Target 100)
"users can configure default options that apply to all repositories from a release, or configure options for individual repositories.","users can configure default Options that utilize to all repository from a release, or configure option for single Repositories.",[0 0 0 0 0 1],Class has 20 samples (Target 100)
a data set has to be added to a rtgrapher.,a data set has to be Added to a rtgrapher.,[0 0 0 0 0 1],Class has 20 samples (Target 100)
"class bltextelement provides different text measurement strategies, each suitable for a specific use case.","class bltextelement leave Different text measurement strategies, each suited for a specific use Case.",[0 0 0 0 0 1],Class has 20 samples (Target 100)
is sent by an element after it is removed from the parent.,is direct by an element after it is removed From the parent.,[0 0 0 0 0 1],Class has 20 samples (Target 100)
is sent by an element after it is removed from the parent.,is sent by an element after it is dispatch From the parent.,[0 0 0 0 0 1],Class has 20 samples (Target 100)
the most general stepper type is described by the stepper concept.,The Most general Stepper case is described by The stepper concept.,[0 0 0 0 0 1],Class has 20 samples (Target 100)
the most general stepper type is described by the stepper concept.,the most general stepper type is account by the stepper concept.,[0 0 0 0 0 1],Class has 20 samples (Target 100)
a data set has to be added to a rtgrapher.,a Data set has to be added to a rtgrapher.,[0 0 0 0 0 1],Class has 20 samples (Target 100)
gtgradtreelayout is a superclass of gtgradhorizontaltreelayout and gtgradverticaltreelayout classes and contains generic tree layout methods and definitions of methods the two subclasses need to redefine.,gtgradtreelayout is a superclass of gtgradhorizontaltreelayout and gtgradverticaltreelayout Classes and contains generic tree layout methods and definition of Methods the two subclasses need to redefine.,[0 0 0 0 0 1],Class has 20 samples (Target 100)
a background process should send #reap to me.,A background process should send #reap to me.,[0 0 0 0 0 1],Class has 20 samples (Target 100)
"class bltextelement provides different text measurement strategies, each suitable for a specific use case.","class bltextelement provides different text measure strategies, apiece suitable for a particular Use case.",[0 0 0 0 0 1],Class has 20 samples (Target 100)
"users can configure default options that apply to all repositories from a release, or configure options for individual repositories.","users can configure default options that Apply to all Repositories from a release, or configure options for individual repositories.",[0 0 0 0 0 1],Class has 20 samples (Target 100)
the ui may want to display them in a transcript,the ui may want to expose them in a transcript,[0 0 0 0 0 1],Class has 20 samples (Target 100)
the ui may want to display them in a transcript,the ui may want To display them In a transcript,[0 0 0 0 0 1],Class has 20 samples (Target 100)
the association key is the text that is displayed in the breadcrimb.,the association key Is the text that Is displayed in the breadcrimb.,[0 0 0 0 0 1],Class has 20 samples (Target 100)
"generally, the differences between the implementations of the hozitonal and vertical variants are really small, revolving around one using or setting the x and the other y coordinates.","generally, The differences between the execution of the hozitonal and Vertical variate are really small, revolve around one Using or Setting the x and the other y coordinates.",[0 0 0 0 0 1],Class has 20 samples (Target 100)
the mouse move event is fired when a pointing device usually a mouse is moved while over an element.,the mouse displace event is fired when A pointing gimmick ordinarily a mouse is moved while concluded an element.,[0 0 0 0 0 1],Class has 20 samples (Target 100)
i am used by a class gtrlreleasebuilder to create a new release.,i am utilize by a class gtrlreleasebuilder to produce a new release.,[0 0 0 0 0 1],Class has 20 samples (Target 100)
"the association value is an object of your choosing, which your code uses to restore that page .","the association value is an target of your choosing, which your code uses To restore that page .",[0 0 0 0 0 1],Class has 20 samples (Target 100)
sent by,institutionalize by,[0 0 0 0 0 1],Class has 20 samples (Target 100)
an uncommitted response should be handled as usual by the server adapter.,An uncommitted response should be handled as usual by the host adapter.,[0 0 0 0 0 1],Class has 20 samples (Target 100)
gtgradtreelayout is a superclass of gtgradhorizontaltreelayout and gtgradverticaltreelayout classes and contains generic tree layout methods and definitions of methods the two subclasses need to redefine.,gtgradtreelayout is a Superclass of gtgradhorizontaltreelayout And gtgradverticaltreelayout classes and contains generic corner layout Methods and Definitions of methods The two subclasses indigence to redefine.,[0 0 0 0 0 1],Class has 20 samples (Target 100)
sparta canvas provides a paint builder that should be used to build concerete paints.,sparta canvas provides a Paint constructor that should be used To build concerete paints.,[0 0 0 0 0 1],Class has 20 samples (Target 100)
