index,comment_sentence,labels,drop_reason
2541,reshaping.,[0 1 0 0 0],Token Count (1)
2570,follows.,[0 0 1 0 0],Token Count (1)
2575,", dilation .",[0 0 1 0 0],Token Count (1)
2576,", padding .",[0 0 1 0 0],Token Count (1)
2577,", stride .",[0 0 1 0 0],Token Count (1)
2631,usage,[1 0 0 0 0],Too Tiny (<6 alpha)
2635,r,[1 0 0 0 0],Too Tiny (<6 alpha)
103,this is useful for,[0 0 1 0 0],Semantic Conflict
227,there are,[0 0 1 0 0],Semantic Conflict
269,same key.,[0 0 0 0 1],Semantic Conflict
363,this is used to,[0 1 0 0 0],Semantic Conflict
568,and what their defaults are and what they are for.,[0 0 0 1 0],Semantic Conflict
676,this will,[1 0 0 0 0],Semantic Conflict
1111,all parameters are passed onwards to the parameter constructor.,[0 0 0 1 0],Semantic Conflict
1191,defaults to % .,[0 1 0 0 0],Semantic Conflict
1197,defaults to .,[0 1 0 0 0],Semantic Conflict
1508,the same key.,[1 0 0 1 1],Semantic Conflict
1518,all other parameters are passed onwards to the parameter constructor.,[1 0 0 0 0],Semantic Conflict
1539,the default is,[0 1 0 0 0],Semantic Conflict
1581,integer word nums,[1 0 1 0 0],Semantic Conflict
1789,a requests session.,[0 0 0 0 1],Semantic Conflict
1793,s requests^session,[1 0 0 0 0],Semantic Conflict
1797,with requests^session as s,[1 0 0 0 0],Semantic Conflict
1816,integer word nums,[1 0 0 0 0],Semantic Conflict
1902,it has been proposed in adam a method for stochastic optimization .,[0 0 1 0 0],Semantic Conflict
1921,it has been proposed in adam a method for stochastic optimization .,[0 0 0 0 1],Semantic Conflict
2020,"default mean , then",[0 1 0 1 0],Semantic Conflict
2051,"by default,",[0 1 0 0 0],Semantic Conflict
2073,default mean,[0 1 0 0 0],Semantic Conflict
2080,"if attr reduction is none , then math n, , same",[0 1 0 1 0],Semantic Conflict
2258,default mean,[0 1 0 0 0],Semantic Conflict
2388,"if attr reduction is none , then math n .",[0 0 0 1 0],Semantic Conflict
624,traceback most recent call last,[1 0 0 0 0],Exact Duplicate
827,"categoricalindex a , b , c , a , b , c , categories a , b , c , ordered false, dtype category # noqa",[1 0 0 1 0],Exact Duplicate
955,versionchanged 025.0,[0 1 0 0 0],Exact Duplicate
1062,traceback most recent call last,[1 0 0 0 0],Exact Duplicate
1290,metadata filemetadata path to pkg info,[1 0 0 0 0],Exact Duplicate
1293,the provided location.,[0 0 0 1 0],Exact Duplicate
1676,if a dictionary or,[0 1 0 0 0],Exact Duplicate
1728,set to 0 to fail on the first retry of this type.,[0 1 0 0 0],Exact Duplicate
1736,set to false to disable and imply raise on redirect false .,[0 1 0 0 0],Exact Duplicate
1798,s^get https httpbin^org get,[1 0 0 0 0],Exact Duplicate
1799,response 200,[1 0 0 0 0],Exact Duplicate
1950,output m input,[1 0 0 0 0],Exact Duplicate
1953,output m input,[1 0 0 0 0],Exact Duplicate
1998,default true,[0 1 0 0 0],Exact Duplicate
2007,output m input,[1 0 0 0 0],Exact Duplicate
2065,default true,[0 1 0 0 0],Exact Duplicate
2114,output m input,[1 0 0 0 0],Exact Duplicate
2117,output m input,[1 0 0 0 0],Exact Duplicate
2165,default true,[0 1 0 0 0],Exact Duplicate
2179,math k frac 1 c text in prod i 0 ^ 2 text kernel size i,[0 0 0 1 0],Exact Duplicate
2186,output m input,[1 0 0 0 0],Exact Duplicate
2364,the losses are averaged over each loss element in the batch.,[0 1 0 0 0],Exact Duplicate
2371,default true,[0 1 0 0 0],Exact Duplicate
2372,"reduce bool, optional deprecated see attr reduction .",[0 1 0 0 0],Exact Duplicate
2373,losses are averaged or summed over observations for each minibatch depending,[0 1 0 0 0],Exact Duplicate
2375,"when attr reduce is false , returns a loss per",[0 1 0 0 0],Exact Duplicate
2379,none mean sum .,[0 1 0 0 0],Exact Duplicate
2448,"optimizer torch^optim.sgd model^parameters , lr 01, momentum 09",[1 0 0 0 0],Exact Duplicate
2552,default 0,[0 1 0 0 0],Exact Duplicate
2622,brew^func,[1 0 0 0 0],Exact Duplicate
2624,brew^func,[1 0 0 0 0],Exact Duplicate
2633,"req requests^request get , https httpbin^org get",[1 0 0 0 0],Exact Duplicate
2636,preparedrequest get,[1 0 0 0 0],Exact Duplicate
2639,response 200,[1 0 0 0 0],Exact Duplicate
